Sleep,depression
poor,5
poor,8
borderline,5
poor,11
poor,7
optimal,7
borderline,5
borderline,10
borderline,7
borderline,5
poor,11
poor,12
optimal,9
optimal,5
poor,7
poor,15
optimal,8
optimal,5
optimal,5
optimal,5
poor,22
poor,15
poor,9
poor,9
poor,7
poor,10
borderline,8
borderline,10
borderline,10
optimal,6
poor,9
optimal,11
poor,11
optimal,9
borderline,20
poor,6
optimal,6
poor,8
optimal,5
borderline,15
optimal,14
borderline,11
optimal,6
poor,15
borderline,5
optimal,5
optimal,5
borderline,5
poor,20
borderline,7
poor,5
borderline,9
borderline,5
optimal,7
poor,5
poor,8
poor,15
poor,6
borderline,5
poor,5
poor,7
optimal,6
borderline,13
optimal,13
poor,12
borderline,7
optimal,8
borderline,18
borderline,5
borderline,16
poor,14
poor,13
poor,5
poor,7
borderline,8
optimal,7
borderline,12
borderline,12
optimal,7
borderline,11
optimal,10
poor,9
borderline,9
borderline,6
poor,9
optimal,5
borderline,9
borderline,5
optimal,12
borderline,9
poor,5
optimal,8
optimal,5
borderline,5
poor,15
borderline,7
poor,15
poor,20
borderline,6
poor,20
borderline,5
poor,12
optimal,12
poor,18
poor,7
optimal,5
optimal,7
optimal,7
poor,6
optimal,5
optimal,8
borderline,13
poor,10
optimal,6
poor,12
poor,21
optimal,5
poor,23
optimal,6
optimal,11
poor,14
optimal,5
borderline,5
poor,9
poor,6
borderline,5
borderline,6
poor,5
optimal,9
optimal,15
poor,6
poor,6
poor,8
optimal,5
poor,23
poor,19
poor,23
poor,7
borderline,10
optimal,6
borderline,11
borderline,6
borderline,10
poor,9
poor,5
poor,11
poor,15
poor,11
borderline,5
borderline,8
optimal,5
borderline,10
poor,11
borderline,5
borderline,6
poor,19
optimal,5
borderline,8
poor,6
borderline,18
poor,8
optimal,5
poor,12
poor,5
borderline,5
borderline,20
poor,5
borderline,7
poor,10
poor,11
poor,7
borderline,10
poor,9
optimal,5
borderline,9
optimal,11
poor,6
borderline,5
poor,17
poor,18
optimal,8
borderline,21
optimal,5
borderline,6
optimal,9
optimal,8
optimal,5
poor,17
borderline,19
borderline,10
optimal,6
poor,11
optimal,5
poor,5
poor,10
poor,21
optimal,5
optimal,5
optimal,8
optimal,7
borderline,8
optimal,9
borderline,9
optimal,8
poor,12
poor,8
borderline,12
optimal,7
poor,6
borderline,10
poor,14
optimal,6
poor,18
optimal,10
optimal,9
borderline,5
poor,10
optimal,6
borderline,6
poor,5
borderline,5
optimal,7
poor,5
poor,8
optimal,10
optimal,7
borderline,9
optimal,13
optimal,6
poor,17
borderline,6
poor,5
borderline,10
borderline,5
optimal,11
optimal,7
borderline,10
poor,5
poor,7
borderline,8
poor,11
optimal,11
poor,9
borderline,5
optimal,10
optimal,6
poor,20
borderline,14
borderline,5
borderline,8
poor,5
optimal,5
optimal,13
optimal,5
borderline,5
optimal,5
poor,6
optimal,6
optimal,6
poor,9
borderline,17
poor,11
optimal,6
optimal,5
borderline,7
optimal,6
optimal,5
poor,5
optimal,10
optimal,10
borderline,7
poor,10
poor,8
optimal,6
optimal,6
poor,18
optimal,6
optimal,5
borderline,14
poor,18
borderline,5
borderline,7
poor,11
optimal,5
poor,9
optimal,7
optimal,5
poor,5
borderline,13
poor,6
poor,11
optimal,5
optimal,5
poor,11
borderline,5
poor,13
borderline,15
optimal,6
optimal,9
optimal,5
borderline,11
optimal,6
poor,8
borderline,11
poor,9
poor,13
optimal,23
poor,6
borderline,13
borderline,11
borderline,13
poor,13
poor,8
poor,9
poor,21
optimal,5
optimal,9
optimal,7
borderline,14
optimal,5
poor,5
borderline,12
poor,6
poor,16
optimal,5
poor,24
optimal,5
optimal,10
optimal,6
poor,10
poor,6
optimal,8
optimal,5
poor,9
poor,8
borderline,12
optimal,6
poor,10
borderline,5
optimal,7
poor,15
poor,8
optimal,6
poor,6
borderline,5
poor,6
poor,10
optimal,6
borderline,16
poor,12
borderline,7
optimal,8
optimal,5
poor,9
optimal,6
poor,7
borderline,10
optimal,5
optimal,7
borderline,8
optimal,5
optimal,12
optimal,5
optimal,6
poor,7
optimal,7
optimal,7
borderline,11
poor,7
borderline,10
borderline,8
optimal,5
poor,5
poor,13
optimal,6
optimal,7
poor,6
borderline,14
optimal,7
optimal,5
poor,10
poor,17
poor,10
poor,15
poor,20
borderline,13
borderline,8
poor,10
poor,12
borderline,6
optimal,5
poor,7
borderline,9
poor,5
poor,11
poor,12
poor,7
poor,5
borderline,5
poor,12
poor,10
poor,12
optimal,6
poor,9
optimal,7
poor,7
poor,21
poor,7
optimal,5
optimal,10
poor,8
poor,8
optimal,6
optimal,5
borderline,5
optimal,5
optimal,5
borderline,11
poor,9
optimal,5
optimal,5
borderline,22
poor,6
poor,8
optimal,6
optimal,19
poor,10
poor,7
poor,11
poor,6
borderline,9
optimal,8
borderline,17
optimal,5
optimal,5
poor,10
borderline,7
optimal,5
borderline,11
poor,13
borderline,5
borderline,6
optimal,6
poor,7
optimal,6
optimal,8
poor,16
poor,10
optimal,7
poor,13
poor,10
borderline,11
borderline,10
optimal,5
poor,5
poor,8
poor,19
poor,8
optimal,7
poor,13
poor,15
borderline,8
poor,12
borderline,6
optimal,7
optimal,5
poor,11
optimal,5
poor,6
poor,8
optimal,6
borderline,6
borderline,5
optimal,6
poor,5
optimal,5
borderline,7
borderline,12
borderline,11
borderline,13
poor,6
poor,8
optimal,5
poor,6
optimal,6
poor,8
poor,9
optimal,5
borderline,5
poor,5
optimal,5
poor,10
optimal,5
borderline,5
poor,9
optimal,5
poor,18
optimal,5
optimal,5
poor,10
poor,14
poor,7
poor,22
optimal,5
optimal,5
optimal,5
poor,5
optimal,7
poor,9
borderline,16
borderline,6
optimal,6
borderline,9
poor,15
optimal,5
optimal,5
poor,7
poor,19
borderline,5
optimal,8
borderline,7
optimal,7
poor,11
poor,13
poor,15
optimal,5
poor,13
optimal,7
poor,10
borderline,6
borderline,9
borderline,12
poor,11
optimal,9
optimal,6
optimal,8
borderline,8
poor,5
optimal,13
optimal,7
poor,6
borderline,5
poor,9
optimal,15
optimal,7
optimal,5
optimal,15
optimal,9
borderline,9
poor,5
optimal,12
borderline,18
poor,5
optimal,10
poor,12
optimal,8
poor,8
poor,8
optimal,9
poor,9
poor,13
borderline,7
optimal,6
borderline,11
borderline,7
borderline,5
poor,7
poor,6
optimal,6
poor,8
poor,14
poor,17
optimal,5
poor,10
optimal,5
optimal,6
poor,9
borderline,18
poor,13
poor,15
optimal,11
poor,6
optimal,7
optimal,9
borderline,8
poor,6
optimal,7
poor,7
poor,19
borderline,7
poor,5
poor,6
poor,10
borderline,8
optimal,7
poor,12
optimal,5
optimal,7
poor,10
poor,8
poor,10
borderline,6
poor,5
poor,19
optimal,7
poor,8
poor,9
borderline,5
borderline,12
poor,6
optimal,12
optimal,8
poor,7
optimal,6
borderline,6
borderline,6
poor,18
borderline,8
poor,9
poor,13
borderline,9
poor,13
optimal,6
poor,15
poor,5
borderline,5
poor,17
borderline,10
borderline,11
optimal,6
poor,11
borderline,7
optimal,5
optimal,5
poor,10
poor,15
optimal,11
optimal,13
optimal,5
borderline,6
poor,7
optimal,15
borderline,5
poor,10
poor,7
optimal,8
borderline,8
borderline,7
poor,24
optimal,5
optimal,5
optimal,8
optimal,6
borderline,14
optimal,5
borderline,15
optimal,6
poor,6
poor,15
optimal,5
poor,13
optimal,10
optimal,6
borderline,9
poor,8
borderline,8
borderline,7
optimal,6
optimal,7
optimal,12
borderline,8
optimal,5
optimal,5
optimal,5
borderline,9
borderline,11
optimal,6
optimal,5
optimal,7
optimal,5
optimal,5
optimal,10
poor,18
borderline,5
borderline,8
borderline,20
borderline,13
poor,21
poor,21
optimal,5
poor,20
borderline,8
optimal,5
poor,9
optimal,5
poor,23
optimal,5
optimal,5
poor,12
borderline,5
borderline,6
borderline,12
poor,19
optimal,8
borderline,6
poor,6
borderline,5
poor,13
optimal,7
borderline,14
optimal,5
optimal,5
poor,7
optimal,8
poor,8
borderline,6
borderline,7
poor,13
poor,15
poor,6
optimal,8
borderline,5
optimal,5
poor,21
poor,7
optimal,9
optimal,5
optimal,7
optimal,9
optimal,6
poor,5
poor,25
borderline,5
borderline,5
borderline,5
poor,10
optimal,7
borderline,7
poor,9
optimal,5
poor,6
optimal,11
borderline,5
borderline,11
borderline,12
optimal,6
optimal,5
optimal,5
optimal,6
borderline,6
optimal,6
poor,7
poor,19
optimal,5
poor,12
borderline,5
borderline,5
optimal,6
borderline,5
borderline,5
optimal,6
poor,12
optimal,7
poor,11
poor,10
borderline,7
borderline,13
borderline,21
optimal,6
borderline,5
borderline,7
poor,13
optimal,5
poor,8
poor,12
borderline,9
borderline,10
poor,15
poor,6
poor,9
poor,16
borderline,7
poor,10
poor,11
borderline,7
borderline,15
optimal,8
borderline,6
borderline,5
poor,9
borderline,10
poor,12
borderline,6
optimal,11
poor,5
optimal,12
poor,17
poor,5
poor,21
optimal,12
borderline,10
borderline,16
optimal,6
optimal,5
poor,7
optimal,7
optimal,10
poor,10
optimal,7
borderline,5
poor,10
borderline,6
poor,17
optimal,7
optimal,5
optimal,6
optimal,6
poor,11
optimal,11
borderline,7
borderline,7
borderline,6
optimal,5
optimal,10
borderline,6
borderline,6
optimal,6
borderline,6
poor,15
poor,8
borderline,13
poor,11
optimal,5
optimal,8
borderline,8
poor,8
poor,18
borderline,5
borderline,6
borderline,8
optimal,9
borderline,12
poor,10
optimal,8
poor,13
optimal,10
poor,7
optimal,7
borderline,6
poor,12
optimal,5
optimal,8
poor,6
poor,13
poor,7
borderline,10
poor,5
poor,12
borderline,12
poor,8
optimal,9
optimal,5
optimal,9
borderline,7
borderline,7
optimal,8
optimal,5
poor,12
optimal,10
poor,7
poor,10
borderline,9
poor,8
optimal,6
poor,12
optimal,10
borderline,8
optimal,5
borderline,6
borderline,8
poor,10
optimal,7
poor,6
poor,8
borderline,5
poor,9
optimal,7
poor,7
borderline,5
optimal,5
borderline,5
borderline,21
borderline,12
optimal,6
optimal,12
poor,21
borderline,8
borderline,6
